City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Lebu,CL,54.79,clear sky,-37.6167,-73.65,Hostal Las Lilas
287,Clinton,US,78.22,scattered clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
288,San Pedro,PH,78.35,heavy intensity rain,14.35,121.0167,Villa Veronica Resort Private Pool
289,Isparta,TR,59.76,broken clouds,38.0,31.0,FAME RESIDENCE LARA
290,Kemijarvi,FI,41.04,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
291,La Ronge,CA,44.85,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
292,Visnes,NO,59.58,broken clouds,59.3556,5.2242,Park Inn Haugesund Airport
293,Abaetetuba,BR,87.84,scattered clouds,-1.7181,-48.8825,Hotel Joanayna
294,Mount Isa,AU,58.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
295,Palmer,US,75.78,broken clouds,42.1584,-72.3287,Wedgewood Motel
296,Mehamn,NO,42.8,scattered clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
297,Zyryanka,RU,42.1,broken clouds,65.75,150.85,
298,Lavrentiya,RU,34.02,broken clouds,65.5833,-171.0,
299,Yarada,IN,82.72,thunderstorm,17.65,83.2667,Jeevan
300,Lima,PE,61.05,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
301,Faya,SA,69.91,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
302,Klamath Falls,US,59.86,clear sky,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
303,Selikhino,RU,53.58,overcast clouds,50.3672,137.4996,Tosklivyy Dom
304,Selfoss,IS,52.68,overcast clouds,63.9331,-20.9971,Selfoss HI Hostel
305,Mapimi,MX,80.17,clear sky,25.8167,-103.85,Propiedad Lldm
306,Alseseca,MX,69.98,overcast clouds,20.2314,-98.0444,Hotel Forest Spa
307,Salinas,US,58.84,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
308,Bilibino,RU,19.76,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
309,Sembe,CG,74.35,light rain,1.6481,14.5806,
310,Iqaluit,CA,38.93,light intensity shower rain,63.7506,-68.5145,Frobisher Inn
311,Fuzhou,CN,82.29,light rain,26.0614,119.3061,Shangri La Hotel Fuzhou
312,Vawkavysk,BY,58.69,overcast clouds,53.1561,24.4513,Krasnosiel'skii
313,Kantunilkin,MX,87.64,broken clouds,21.0917,-87.45,Posada Paraiso
314,Tautira,PF,75.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
315,Kavieng,PG,80.49,light rain,-2.5744,150.7967,Nusa Island Retreat
